transaction_id,date,month,year,region,salesperson_id,salesperson_name,product_category,product_name,customer_segment,customer_id,units_sold,unit_price,discount_pct,gross_revenue,discount_amount,net_revenue,cost_per_unit,total_cost,gross_profit,profit_margin_pct,monthly_target,return_flag,payment_method
TXN-2023-03-000001,14-03-2023,3,2023,North,SP-010,Zilmil Kota,Clothing,Winter Jacket,B2C,CUST-419965,1,4551.92,5,4551.92,227.6,4324.32,2184.92,2184.92,2139.4,49.47,30555.56,False,UPI
TXN-2023-03-000002,20-03-2023,3,2023,South,SP-022,Ishaan Lanka,Automotive,,B2B,CUST-820600,10,Rs.680.93,10,6809.3,680.93,6128.37,272.37,2723.7,3404.67,55.56,33000.0,False,Bank Transfer
TXN-2023-03-000003,24-03-2023,3,2023,North,SP-018,Deepa Rao,Home Goods,Air Purifier,B2C,CUST-926858,5,11812.85,0,59064.25,0.0,59064.25,7087.71,35438.55,23625.7,40.0,30555.56,False,UPI
TXN-2023-03-000004,28-03-2023,3,2023,West,SP-047,Darika Som,Electronics,Wireless Earbuds,B2C,CUST-123286,2,3452.95,15,6905.9,1035.88,5870.02,2002.71,4005.42,1864.6,31.76,51333.33,False,UPI
TXN-2023-03-000005,15-03-2023,3,2023,North,SP-014,Anay Merchant,Clothing,Saree Silk,B2C,CUST-964774,1,3414.67,0,3414.67,0.0,3414.67,1468.31,1468.31,1946.36,57.0,30555.56,False,Credit Card
TXN-2023-03-000006,29-03-2023,3,2023,East,SP-044,Reva Bumb,Sports,Cycling Helmet,B2C,CUST-679313,5,1818.62,10,9093.1,909.31,8183.79,909.31,4546.55,3637.24,44.44,35000.0,False,UPI
TXN-2023-03-000007,02-03-2023,3,2023,West,SP-049,Amol Atwal,Electronics,Smart Watch,B2C,CUST-727153,4,8233.1,5,32932.4,1646.62,31285.78,4775.2,19100.8,12184.98,38.95,51333.33,False,UPI
TXN-2023-03-000008,23-03-2023,3,2023,North,SP-011,Harish Dhingra,Electronics,Smart Watch,B2C,CUST-323553,2,8862.5,10,17725.0,1772.5,15952.5,5140.25,10280.5,5672.0,35.56,30555.56,False,UPI
TXN-2023-03-000009,30-03-2023,3,2023,South,SP-029,Samarth Mani,Home Goods,,B2C,CUST-482484,5,4504.39,0,22521.95,0.0,22521.95,2612.55,13062.75,9459.2,42.0,33000.0,False,Credit Card
TXN-2023-03-000010,08-03-2023,3,2023,South,SP-025,Anjali Comar,Clothing,Casual Sneakers,B2C,CUST-395208,4,2919.56,0,11678.24,0.0,11678.24,1343.0,5372.0,6306.24,54.0,33000.0,False,UPI
TXN-2023-03-000011,30-03-2023,3,2023,East,SP-037,Tanveer Varma,Clothing,Formal Shirt,B2C,CUST-624377,3,1196.67,10,3590.01,359.0,3231.01,538.5,1615.5,1615.51,50.0,35000.0,False,Credit Card
TXN-2023-03-000012,16-03-2023,3,2023,North,SP-002,Samar Bains,Electronics,Smartphone Y7,B2B,CUST-769135,33,17150.48,15,565965.84,84894.88,481070.96,10290.29,339579.57,141491.39,29.41,30555.56,False,Bank Transfer
TXN-2023-03-000013,30-03-2023,3,2023,South,SP-033,Amrita Bhakta,Electronics,Laptop Pro X1,B2B,CUST-419544,35,64345.8,5,2252103.0,112605.15,2139497.85,39894.4,1396304.0,743193.85,34.74,33000.0,False,Credit Card
TXN-2023-03-000014,09-03-2023,3,2023,North,SP-008,Hitesh Anand,Sports,Fitness Band,B2B,CUST-394058,40,2517.27,0,100690.8,0.0,100690.8,1384.5,55380.0,45310.8,45.0,30555.56,False,Bank Transfer
TXN-2023-03-000015,06-03-2023,3,2023,North,SP-017,Zehaan Palla,Electronics,Smartphone Y7,B2C,CUST-278059,1,18183.22,5,18183.22,909.16,17274.06,10909.93,10909.93,6364.13,36.84,30555.56,False,Credit Card
TXN-2023-03-000016,14-03-2023,3,2023,West,SP-047,Darika Som,Electronics,Bluetooth Speaker,B2C,CUST-861139,3,2669.68,0,8009.04,0.0,8009.04,1468.32,4404.96,3604.08,45.0,51333.33,False,UPI
TXN-2023-03-000017,13-03-2023,3,2023,North,SP-008,Hitesh Anand,Electronics,Wireless Earbuds,B2C,CUST-294809,2,3554.48,0,7108.96,0.0,7108.96,2061.6,4123.2,2985.76,42.0,30555.56,False,UPI
TXN-2023-03-000018,03-03-2023,3,2023,North,SP-002,Samar Bains,Electronics,Smart TV 43 inch,B2C,CUST-756782,5,32241.64,10,161208.2,16120.82,145087.38,20957.07,104785.35,40302.03,27.78,30555.56,False,UPI
TXN-2023-03-000019,24-03-2023,3,2023,East,SP-034,Faraj Kara,Home Goods,Mixer Grinder,B2C,CUST-354788,2,4397.8,10,8795.6,879.56,7916.04,2550.72,5101.44,2814.6,35.56,35000.0,False,Credit Card
TXN-2023-03-000020,10-03-2023,3,2023,East,SP-036,Janani Hari,Clothing,Denim Jeans,B2C,CUST-783240,2,2210.2,5,4420.4,221.02,4199.38,928.28,1856.56,2342.82,55.79,35000.0,False,Credit Card
TXN-2023-03-000021,21-03-2023,3,2023,South,SP-020,Yashica Swamy,Electronics,Wireless Earbuds,B2B,CUST-480387,6,3665.71,0,21994.26,0.0,21994.26,2126.11,12756.66,9237.6,42.0,33000.0,False,Bank Transfer
TXN-2023-03-000022,17-03-2023,3,2023,East,SP-036,Janani Hari,Electronics,Gaming Console,B2C,CUST-254905,5,45602.18,10,228010.9,22801.09,205209.81,31009.48,155047.4,50162.41,24.44,35000.0,False,UPI
TXN-2023-03-000023,06-03-2023,3,2023,North,SP-017,Zehaan Palla,Clothing,Winter Jacket,B2B,CUST-832419,35,4433.45,0,155170.75,0.0,155170.75,2128.06,74482.1,80688.65,52.0,30555.56,False,Bank Transfer
TXN-2023-03-000024,17-03-2023,3,2023,South,SP-032,William Bhardwaj,Electronics,Tablet Air,B2C,CUST-682103,5,24154.92,5,120774.6,6038.73,114735.87,15217.6,76088.0,38647.87,33.68,33000.0,False,UPI
TXN-2023-03-000025,22-03-2023,3,2023,South,SP-024,Jyoti Mangal,Electronics,Bluetooth Speaker,B2C,CUST-832630,2,2868.99,0,5737.98,0.0,5737.98,1577.94,3155.88,2582.1,45.0,33000.0,False,UPI
TXN-2023-03-000026,06-03-2023,3,2023,North,SP-006,Nisha Handa,Electronics,Smart Watch,B2C,CUST-321111,1,Rs.8888.76,0,8888.76,0.0,8888.76,5155.48,5155.48,3733.28,42.0,30555.56,False,Bank Transfer
TXN-2023-03-000027,27-03-2023,3,2023,South,SP-029,Samarth Mani,Home Goods,Sofa 3-Seater,B2C,CUST-942711,5,29280.64,20,146403.2,29280.64,117122.56,18154.0,90770.0,26352.56,22.5,33000.0,False,Cash
TXN-2023-03-000028,21-03-2023,3,2023,East,SP-036,Janani Hari,Electronics,Smartphone Y7,B2C,CUST-997712,1,17429.0,15,17429.0,2614.35,14814.65,10457.4,10457.4,4357.25,29.41,35000.0,False,UPI
TXN-2023-03-000029,28-03-2023,3,2023,North,SP-017,Zehaan Palla,Home Goods,Mixer Grinder,B2C,CUST-763877,4,4379.17,10,17516.68,1751.67,15765.01,2539.92,10159.68,5605.33,35.56,30555.56,False,UPI
TXN-2023-03-000030,21-03-2023,3,2023,South,SP-024,Jyoti Mangal,Clothing,,B2B,CUST-845827,50,2693.73,0,134686.5,0.0,134686.5,1239.12,61956.0,72730.5,54.0,33000.0,False,Bank Transfer
TXN-2023-03-000031,22-03-2023,3,2023,East,SP-035,Hardik Seth,Clothing,Ethnic Kurta,B2B,CUST-319369,18,1714.86,20,30867.48,6173.5,24693.98,685.94,12346.92,12347.06,50.0,35000.0,False,Credit Card
TXN-2023-03-000032,31-03-2023,3,2023,North,SP-018,Deepa Rao,Electronics,Smart TV 43 inch,B2C,CUST-690192,4,32638.03,20,130552.12,26110.42,104441.7,21214.72,84858.88,19582.82,18.75,30555.56,False,Cash
TXN-2023-03-000033,29-03-2023,3,2023,North,SP-016,Tristan Balakrishnan,Sports,Fitness Band,B2C,CUST-795342,1,2616.84,0,2616.84,0.0,2616.84,1439.26,1439.26,1177.58,45.0,30555.56,False,UPI
TXN-2023-03-000034,22-03-2023,3,2023,East,SP-041,Zansi Buch,Beauty,Sunscreen SPF50,B2C,CUST-618392,1,679.64,5,679.64,33.98,645.66,258.26,258.26,387.4,60.0,35000.0,False,Credit Card
TXN-2023-03-000035,06-03-2023,3,2023,South,SP-019,Nicholas Kulkarni,Beauty,Moisturizer 100ml,B2B,CUST-419730,33,980.3,0,32349.9,0.0,32349.9,411.73,13587.09,18762.81,58.0,33000.0,False,Bank Transfer
TXN-2023-03-000036,15-03-2023,3,2023,South,SP-028,Aadhya Agrawal,Electronics,Laptop Pro X1,B2C,CUST-672183,3,64710.52,5,194131.56,9706.58,184424.98,40120.52,120361.56,64063.42,34.74,33000.0,False,Credit Card
TXN-2023-03-000037,08-03-2023,3,2023,East,SP-038,Ekiya Goyal,Electronics,Tablet Air,B2C,CUST-748380,2,24447.03,5,48894.06,2444.7,46449.36,15401.63,30803.26,15646.1,33.68,35000.0,False,Bank Transfer
TXN-2023-03-000038,13-03-2023,3,2023,West,SP-047,Darika Som,Electronics,Bluetooth Speaker,B2C,CUST-127052,2,2734.72,5,5469.44,273.47,5195.97,1504.1,3008.2,2187.77,42.11,51333.33,False,Cash
TXN-2023-03-000039,29-03-2023,3,2023,South,SP-019,Nicholas Kulkarni,Sports,Swimming Goggles,B2B,CUST-828299,15,957.5,5,14362.5,718.12,13644.38,430.88,6463.2,7181.18,52.63,33000.0,False,Bank Transfer
TXN-2023-03-000040,03-03-2023,3,2023,West,SP-048,Idika Dhawan,Clothing,Winter Jacket,B2C,CUST-723106,5,4309.07,5,21545.35,1077.27,20468.08,2068.35,10341.75,10126.33,49.47,51333.33,False,Credit Card
TXN-2023-03-000041,17-03-2023,3,2023,North,SP-001,Ekta Halder,Electronics,Smart Watch,B2B,CUST-909879,6,8249.73,0,49498.38,0.0,49498.38,4784.84,28709.04,20789.34,42.0,30555.56,False,Bank Transfer
TXN-2023-03-000042,16-03-2023,3,2023,South,SP-030,Idika Desai,Electronics,Laptop Pro X1,B2C,CUST-538376,3,67172.63,10,201517.89,20151.79,181366.1,41647.03,124941.09,56425.01,31.11,33000.0,False,Credit Card
TXN-2023-03-000043,24-03-2023,3,2023,South,SP-024,Jyoti Mangal,Sports,Cricket Bat,B2C,CUST-877425,1,3538.4,10,3538.4,353.84,3184.56,1946.12,1946.12,1238.44,38.89,33000.0,False,UPI
TXN-2023-03-000044,29-03-2023,3,2023,North,SP-012,Mekhala Doshi,Clothing,Formal Trousers,B2B,CUST-530900,20,1580.65,5,31613.0,1580.65,30032.35,695.49,13909.8,16122.55,53.68,30555.56,False,Bank Transfer
TXN-2023-03-000045,24-03-2023,3,2023,WEST,SP-049,Amol Atwal,Clothing,Winter Jacket,B2B,CUST-208002,34,4299.73,10,146190.82,14619.08,131571.74,2063.87,70171.58,61400.16,46.67,51333.33,False,Bank Transfer
TXN-2023-03-000046,07-03-2023,3,2023,North,SP-009,Manan Shere,Clothing,Saree Silk,B2B,CUST-798841,7,3576.99,10,25038.93,2503.89,22535.04,1538.11,10766.77,11768.27,52.22,30555.56,False,Credit Card
TXN-2023-03-000047,23-03-2023,3,2023,West,SP-046,Yamini Buch,Clothing,Formal Trousers,B2C,CUST-480431,5,1582.66,0,7913.3,0.0,7913.3,696.37,3481.85,4431.45,56.0,51333.33,False,UPI
TXN-2023-03-000048,31-03-2023,3,2023,South,SP-031,Garima Jhaveri,Electronics,Smart TV 43 inch,B2C,CUST-480579,4,31221.27,10,124885.08,12488.51,112396.57,20293.83,81175.32,31221.25,27.78,33000.0,False,UPI
TXN-2023-03-000049,15-03-2023,3,2023,South,SP-030,Idika Desai,Electronics,Smartphone Y7,B2C,CUST-669005,2,17882.17,0,35764.34,0.0,35764.34,10729.3,21458.6,14305.74,40.0,33000.0,False,Cash
TXN-2023-03-000050,09-03-2023,3,2023,East,SP-043,Qasim Pradhan,Home Goods,Air Purifier,B2C,CUST-946402,1,11788.16,10,11788.16,1178.82,10609.34,7072.9,7072.9,3536.44,33.33,35000.0,False,UPI
TXN-2023-03-000051,03-03-2023,3,2023,South,SP-019,Nicholas Kulkarni,Electronics,Laptop Pro X1,B2C,CUST-335330,1,66470.42,0,66470.42,0.0,66470.42,41211.66,41211.66,25258.76,38.0,33000.0,False,Cash
TXN-2023-03-000052,01-03-2023,3,2023,West,SP-047,Darika Som,Sports,Swimming Goggles,B2C,CUST-153845,5,911.61,0,4558.05,0.0,4558.05,410.22,2051.1,2506.95,55.0,51333.33,False,UPI
TXN-2023-03-000053,16-03-2023,3,2023,North,SP-008,Hitesh Anand,Home Goods,Curtain Pair,B2C,CUST-456879,5,1186.09,10,5930.45,593.04,5337.41,569.32,2846.6,2490.81,46.67,30555.56,False,Credit Card
TXN-2023-03-000054,20-03-2023,3,2023,West,SP-047,Darika Som,Home Goods,Dinner Set 24pc,B2B,CUST-615017,32,3313.03,15,106016.96,15902.54,90114.42,1722.78,55128.96,34985.46,38.82,51333.33,False,Bank Transfer
TXN-2023-03-000055,30-03-2023,3,2023,South,SP-025,Anjali Comar,Clothing,Denim Jeans,B2C,CUST-167503,3,2155.63,10,6466.89,646.69,5820.2,905.36,2716.08,3104.12,53.33,33000.0,False,Credit Card
TXN-2023-03-000056,02-03-2023,3,2023,South,SP-028,Aadhya Agrawal,Electronics,Smartphone Y7,B2B,CUST-385997,20,18714.79,10,374295.8,37429.58,336866.22,11228.87,224577.4,112288.82,33.33,33000.0,False,Cash
TXN-2023-03-000057,15-03-2023,3,2023,South,SP-022,Ishaan Lanka,Electronics,Bluetooth Speaker,B2C,CUST-750051,-4,2888.58,0,11554.32,0.0,11554.32,1588.72,6354.88,5199.44,45.0,33000.0,False,UPI
TXN-2023-03-000058,09-03-2023,3,2023,North,SP-003,Vihaan Mody,Electronics,Smartphone Y7,B2B,CUST-633005,10,18088.68,0,180886.8,0.0,180886.8,10853.21,108532.1,72354.7,40.0,30555.56,False,Bank Transfer
TXN-2023-03-000059,30-03-2023,3,2023,South,SP-032,William Bhardwaj,Electronics,Wireless Earbuds,B2B,CUST-668081,16,3668.49,0,58695.84,0.0,58695.84,2127.72,34043.52,24652.32,42.0,33000.0,False,Bank Transfer
TXN-2023-03-000060,24-03-2023,3,2023,North,SP-014,Anay Merchant,Sports,Yoga Mat,B2C,CUST-100124,3,1161.22,0,3483.66,0.0,3483.66,557.39,1672.17,1811.49,52.0,30555.56,False,UPI
TXN-2023-03-000061,23-03-2023,3,2023,East,SP-043,Qasim Pradhan,Electronics,Smart TV 43 inch,B2B,CUST-452583,24,33304.53,0,799308.72,0.0,799308.72,21647.94,519550.56,279758.16,35.0,35000.0,False,Credit Card
TXN-2023-03-000062,27-03-2023,3,2023,West,SP-047,Darika Som,Home Goods,Sofa 3-Seater,B2C,CUST-718502,4,26723.61,15,106894.44,16034.17,90860.27,16568.64,66274.56,24585.71,27.06,51333.33,False,Credit Card
TXN-2023-03-000063,10-03-2023,3,2023,North,SP-018,Deepa Rao,Electronics,Bluetooth Speaker,B2C,CUST-675657,4,2733.15,0,10932.6,0.0,10932.6,1503.23,6012.92,4919.68,45.0,30555.56,False,UPI
TXN-2023-03-000064,13-03-2023,3,2023,north,SP-017,Zehaan Palla,Clothing,Formal Shirt,B2C,CUST-384229,2,1228.8,0,2457.6,0.0,2457.6,552.96,1105.92,1351.68,55.0,30555.56,False,UPI
TXN-2023-03-000065,28-03-2023,3,2023,South,SP-019,Nicholas Kulkarni,Beauty,Moisturizer 100ml,B2B,CUST-606962,44,941.9,0,41443.6,0.0,41443.6,395.6,17406.4,24037.2,58.0,33000.0,False,Cash
TXN-2023-03-000066,16-03-2023,3,2023,South,SP-031,Garima Jhaveri,Sports,Gym Dumbbells 5kg,B2B,CUST-484998,50,1569.63,15,78481.5,11772.22,66709.28,816.21,40810.5,25898.78,38.82,33000.0,False,UPI
TXN-2023-03-000067,22-03-2023,3,2023,South,SP-031,Garima Jhaveri,Clothing,Saree Silk,B2B,CUST-735141,29,3367.63,0,97661.27,0.0,97661.27,1448.08,41994.32,55666.95,57.0,33000.0,False,Bank Transfer
TXN-2023-03-000068,27-03-2023,3,2023,West,SP-047,Darika Som,Electronics,Smart TV 43 inch,B2C,CUST-124785,1,32956.94,0,32956.94,0.0,32956.94,21422.01,21422.01,11534.93,35.0,51333.33,False,UPI
