transaction_id,txn_date,month,year,yearmonth,region,salesperson_id,salesperson_name,product_category,product_name,customer_segment,customer_id,units_sold,unit_price,discount_pct,gross_revenue,discount_amount,net_revenue,cost_per_unit,total_cost,gross_profit,profit_margin_pct,monthly_target,return_flag,payment_method,source_file,loaded_at
TXN-2023-07-000004,2023-07-03,7,2023,2023-07,East,SP-038,Ekiya Goyal,Electronics,Smart TV 43 inch,B2C,CUST-642427,1,31323.29,0.0,31323.29,0.0,31323.29,20360.14,20360.14,10963.15,35.0,35000.0,false,Credit Card,2023_07_sales.csv,2026-07-04T12:11:55.135+05:30
TXN-2023-07-000010,2023-07-21,7,2023,2023-07,South,SP-020,Yashica Swamy,Beauty,Lipstick Collection,B2B,CUST-467507,15,1812.36,20.0,27185.4,5437.08,21748.32,724.94,10874.1,10874.22,50.0,33000.0,false,Credit Card,2023_07_sales.csv,2026-07-04T12:11:55.135+05:30
TXN-2023-07-000015,2023-07-24,7,2023,2023-07,North,SP-013,Garima Bhasin,Beauty,Electric Shaver,B2B,CUST-784953,9,3376.07,5.0,30384.63,1519.23,28865.4,1958.12,17623.08,11242.32,38.95,30555.56,false,Bank Transfer,2023_07_sales.csv,2026-07-04T12:11:55.135+05:30
TXN-2023-07-000034,2023-07-26,7,2023,2023-07,West,SP-046,Yamini Buch,Home Goods,Curtain Pair,B2C,CUST-395266,4,1194.17,5.0,4776.68,238.83,4537.85,573.2,2292.8,2245.05,49.47,51333.33,false,Credit Card,2023_07_sales.csv,2026-07-04T12:11:55.135+05:30
TXN-2023-07-000037,2023-07-06,7,2023,2023-07,South,SP-026,Adweta Nayar,Home Goods,Mixer Grinder,B2C,CUST-116907,5,4522.09,5.0,22610.45,1130.52,21479.93,2622.81,13114.05,8365.88,38.95,33000.0,false,UPI,2023_07_sales.csv,2026-07-04T12:11:55.135+05:30
TXN-2023-07-000039,2023-07-25,7,2023,2023-07,North,SP-011,Harish Dhingra,Clothing,Formal Shirt,B2B,CUST-338955,34,1186.62,0.0,40345.08,0.0,40345.08,533.98,18155.32,22189.76,55.0,30555.56,false,UPI,2023_07_sales.csv,2026-07-04T12:11:55.135+05:30
TXN-2023-07-000040,2023-07-27,7,2023,2023-07,North,SP-012,Mekhala Doshi,Home Goods,Wall Clock,B2C,CUST-309381,4,822.38,0.0,3289.52,0.0,3289.52,370.07,1480.28,1809.24,55.0,30555.56,false,UPI,2023_07_sales.csv,2026-07-04T12:11:55.135+05:30
TXN-2023-07-000042,2023-07-21,7,2023,2023-07,North,SP-004,Divya Rajagopal,Electronics,Bluetooth Speaker,B2C,CUST-755205,3,2909.63,0.0,8728.89,0.0,8728.89,1600.3,4800.9,3927.99,45.0,30555.56,false,Bank Transfer,2023_07_sales.csv,2026-07-04T12:11:55.135+05:30
TXN-2023-07-000053,2023-07-03,7,2023,2023-07,North,SP-006,Nisha Handa,Sports,Yoga Mat,B2C,CUST-565617,5,1156.67,0.0,5783.35,0.0,5783.35,555.2,2776.0,3007.35,52.0,30555.56,false,UPI,2023_07_sales.csv,2026-07-04T12:11:55.135+05:30
TXN-2023-07-000058,2023-07-06,7,2023,2023-07,East,SP-041,Zansi Buch,Electronics,Smartphone Y7,B2C,CUST-679977,3,18696.23,0.0,56088.69,0.0,56088.69,11217.74,33653.22,22435.47,40.0,35000.0,false,UPI,2023_07_sales.csv,2026-07-04T12:11:55.135+05:30
TXN-2023-07-000060,2023-07-14,7,2023,2023-07,North,SP-017,Zehaan Palla,Clothing,Formal Shirt,B2C,CUST-341033,2,1201.87,0.0,2403.74,0.0,2403.74,540.84,1081.68,1322.06,55.0,30555.56,false,UPI,2023_07_sales.csv,2026-07-04T12:11:55.135+05:30
TXN-2023-07-000063,2023-07-28,7,2023,2023-07,West,SP-048,Idika Dhawan,Electronics,Bluetooth Speaker,B2C,CUST-402561,3,2736.49,0.0,8209.47,0.0,8209.47,1505.07,4515.21,3694.26,45.0,51333.33,false,UPI,2023_07_sales.csv,2026-07-04T12:11:55.135+05:30
TXN-2023-07-000066,2023-07-12,7,2023,2023-07,East,SP-039,Lekha Kadakia,Clothing,Saree Silk,B2C,CUST-413734,3,3446.84,5.0,10340.52,517.03,9823.49,1482.14,4446.42,5377.07,54.74,35000.0,false,UPI,2023_07_sales.csv,2026-07-04T12:11:55.135+05:30
