transaction_id,txn_date,month,year,yearmonth,region,salesperson_id,salesperson_name,product_category,product_name,customer_segment,customer_id,units_sold,unit_price,discount_pct,gross_revenue,discount_amount,net_revenue,cost_per_unit,total_cost,gross_profit,profit_margin_pct,monthly_target,return_flag,payment_method,source_file,loaded_at
TXN-2024-02-000008,2024-02-01,2,2024,2024-02,East,SP-039,Lekha Kadakia,Sports,Badminton Set,B2C,CUST-855856,3,2274.98,5.0,6824.94,341.25,6483.69,1137.49,3412.47,3071.22,47.37,38181.82,false,Credit Card,2024_02_sales.csv,2026-07-04T12:13:15.215+05:30
TXN-2024-02-000018,2024-02-23,2,2024,2024-02,North,SP-018,Deepa Rao,Electronics,Smart Watch,B2C,CUST-809376,3,8849.24,20.0,26547.72,5309.54,21238.18,5132.56,15397.68,5840.5,27.5,33333.33,false,Credit Card,2024_02_sales.csv,2026-07-04T12:13:15.215+05:30
TXN-2024-02-000022,2024-02-12,2,2024,2024-02,East,SP-040,Bhavna Bawa,Beauty,Face Serum 30ml,B2C,CUST-349420,4,1186.44,10.0,4745.76,474.58,4271.18,474.58,1898.32,2372.86,55.56,38181.82,false,Cash,2024_02_sales.csv,2026-07-04T12:13:15.215+05:30
TXN-2024-02-000023,2024-02-05,2,2024,2024-02,South,SP-026,Adweta Nayar,Electronics,Laptop Pro X1,B2C,CUST-360163,5,66539.34,10.0,332696.7,33269.67,299427.03,41254.39,206271.95,93155.08,31.11,36000.0,false,Credit Card,2024_02_sales.csv,2026-07-04T12:13:15.215+05:30
TXN-2024-02-000027,2024-02-07,2,2024,2024-02,East,SP-038,Ekiya Goyal,Home Goods,Mixer Grinder,B2B,CUST-214882,25,4439.6,5.0,110990.0,5549.5,105440.5,2574.97,64374.25,41066.25,38.95,38181.82,false,Bank Transfer,2024_02_sales.csv,2026-07-04T12:13:15.215+05:30
TXN-2024-02-000029,2024-02-20,2,2024,2024-02,North,SP-004,Divya Rajagopal,Electronics,Wireless Earbuds,B2C,CUST-783323,3,3391.61,0.0,10174.83,0.0,10174.83,1967.13,5901.39,4273.44,42.0,33333.33,false,Credit Card,2024_02_sales.csv,2026-07-04T12:13:15.215+05:30
TXN-2024-02-000040,2024-02-09,2,2024,2024-02,West,SP-046,Yamini Buch,Electronics,Laptop Pro X1,B2C,CUST-885172,5,64970.65,15.0,324853.25,48727.99,276125.25,40281.8,201409.0,74716.26,27.06,56000.0,false,UPI,2024_02_sales.csv,2026-07-04T12:13:15.215+05:30
TXN-2024-02-000044,2024-02-14,2,2024,2024-02,West,SP-047,Darika Som,Home Goods,Air Purifier,B2C,CUST-976459,5,11624.58,0.0,58122.9,0.0,58122.9,6974.75,34873.75,23249.15,40.0,56000.0,false,Credit Card,2024_02_sales.csv,2026-07-04T12:13:15.215+05:30
TXN-2024-02-000048,2024-02-13,2,2024,2024-02,West,SP-049,Amol Atwal,Electronics,Wireless Earbuds,B2B,CUST-898732,26,3533.79,5.0,91878.54,4593.93,87284.61,2049.6,53289.6,33995.01,38.95,56000.0,false,Credit Card,2024_02_sales.csv,2026-07-04T12:13:15.215+05:30
TXN-2024-02-000060,2024-02-02,2,2024,2024-02,East,SP-043,Qasim Pradhan,Clothing,Casual Sneakers,B2B,CUST-609881,29,2796.38,5.0,81095.02,4054.75,77040.27,1286.33,37303.57,39736.7,51.58,38181.82,false,Bank Transfer,2024_02_sales.csv,2026-07-04T12:13:15.215+05:30
TXN-2024-02-000070,2024-02-14,2,2024,2024-02,South,SP-033,Amrita Bhakta,Electronics,Wireless Earbuds,B2C,CUST-467021,3,3360.16,5.0,10080.48,504.02,9576.46,1948.89,5846.67,3729.79,38.95,36000.0,false,UPI,2024_02_sales.csv,2026-07-04T12:13:15.215+05:30
TXN-2024-02-000074,2024-02-27,2,2024,2024-02,North,SP-002,Samar Bains,Home Goods,Mixer Grinder,B2B,CUST-919991,37,4302.41,0.0,159189.17,0.0,159189.17,2495.4,92329.8,66859.37,42.0,33333.33,false,Bank Transfer,2024_02_sales.csv,2026-07-04T12:13:15.215+05:30
TXN-2024-02-000076,2024-02-01,2,2024,2024-02,West,SP-047,Darika Som,Electronics,Smart Watch,B2C,CUST-581053,4,8218.04,0.0,32872.16,0.0,32872.16,4766.46,19065.84,13806.32,42.0,56000.0,false,UPI,2024_02_sales.csv,2026-07-04T12:13:15.215+05:30
TXN-2024-02-000084,2024-02-23,2,2024,2024-02,West,SP-050,Pavani Sachar,Electronics,Laptop Pro X1,B2B,CUST-635545,38,64223.97,10.0,2440510.8,244051.1,2196459.8,39818.86,1513116.6,683343.06,31.11,56000.0,false,Cash,2024_02_sales.csv,2026-07-04T12:13:15.215+05:30
