transaction_id,txn_date,month,year,yearmonth,region,salesperson_id,salesperson_name,product_category,product_name,customer_segment,customer_id,units_sold,unit_price,discount_pct,gross_revenue,discount_amount,net_revenue,cost_per_unit,total_cost,gross_profit,profit_margin_pct,monthly_target,return_flag,payment_method,source_file,loaded_at
TXN-2024-10-000002,2024-10-17,10,2024,2024-10,East,SP-036,Janani Hari,Home Goods,Dinner Set 24pc,B2B,CUST-371190,46,3303.34,10.0,151953.64,15195.36,136758.28,1717.74,79016.04,57742.24,42.22,38181.82,false,Bank Transfer,2024_10_sales.csv,2026-07-04T12:14:43.302+05:30
TXN-2024-10-000007,2024-10-15,10,2024,2024-10,South,SP-020,Yashica Swamy,Home Goods,Wall Clock,B2C,CUST-521900,5,869.24,15.0,4346.2,651.93,3694.27,391.16,1955.8,1738.47,47.06,36000.0,false,Credit Card,2024_10_sales.csv,2026-07-04T12:14:43.302+05:30
TXN-2024-10-000008,2024-10-25,10,2024,2024-10,South,SP-024,Jyoti Mangal,Electronics,Tablet Air,B2B,CUST-858799,41,24905.31,10.0,1021117.7,102111.77,919005.94,15690.35,643304.4,275701.6,30.0,36000.0,false,UPI,2024_10_sales.csv,2026-07-04T12:14:43.302+05:30
TXN-2024-10-000015,2024-10-11,10,2024,2024-10,East,SP-041,Zansi Buch,Clothing,Saree Silk,B2C,CUST-493624,3,3348.49,15.0,10045.47,1506.82,8538.65,1439.85,4319.55,4219.1,49.41,38181.82,false,UPI,2024_10_sales.csv,2026-07-04T12:14:43.302+05:30
TXN-2024-10-000021,2024-10-23,10,2024,2024-10,South,SP-024,Jyoti Mangal,Automotive,Tyre Inflator,B2C,CUST-549751,4,3259.74,15.0,13038.96,1955.84,11083.12,1792.86,7171.44,3911.68,35.29,36000.0,false,UPI,2024_10_sales.csv,2026-07-04T12:14:43.302+05:30
TXN-2024-10-000027,2024-10-29,10,2024,2024-10,South,SP-025,Anjali Comar,Clothing,Ethnic Kurta,B2C,CUST-595692,4,1826.95,10.0,7307.8,730.78,6577.02,730.78,2923.12,3653.9,55.56,36000.0,false,UPI,2024_10_sales.csv,2026-07-04T12:14:43.302+05:30
TXN-2024-10-000028,2024-10-03,10,2024,2024-10,North,SP-016,Tristan Balakrishnan,Automotive,Car Perfume Set,B2B,CUST-916153,33,642.48,10.0,21201.84,2120.18,19081.66,256.99,8480.67,10600.99,55.56,33333.33,false,Bank Transfer,2024_10_sales.csv,2026-07-04T12:14:43.302+05:30
TXN-2024-10-000031,2024-10-04,10,2024,2024-10,North,SP-005,Arjun Sehgal,Automotive,Jump Starter Pack,B2C,CUST-566724,5,6545.46,10.0,32727.3,3272.73,29454.57,3927.28,19636.4,9818.17,33.33,33333.33,false,Credit Card,2024_10_sales.csv,2026-07-04T12:14:43.302+05:30
TXN-2024-10-000045,2024-10-17,10,2024,2024-10,North,SP-008,Hitesh Anand,Electronics,Gaming Console,B2B,CUST-579042,33,44661.8,10.0,1473839.4,147383.94,1326455.5,30370.02,1002210.7,324244.8,24.44,33333.33,false,Bank Transfer,2024_10_sales.csv,2026-07-04T12:14:43.302+05:30
TXN-2024-10-000048,2024-10-15,10,2024,2024-10,South,SP-023,Zansi Cherian,Sports,Badminton Set,B2B,CUST-517604,32,2245.97,10.0,71871.04,7187.1,64683.94,1122.98,35935.36,28748.58,44.44,36000.0,false,Bank Transfer,2024_10_sales.csv,2026-07-04T12:14:43.302+05:30
TXN-2024-10-000049,2024-10-01,10,2024,2024-10,North,SP-011,Harish Dhingra,Electronics,Laptop Pro X1,B2B,CUST-346823,7,66484.48,10.0,465391.38,46539.14,418852.22,41220.38,288542.66,130309.56,31.11,33333.33,false,Bank Transfer,2024_10_sales.csv,2026-07-04T12:14:43.302+05:30
TXN-2024-10-000053,2024-10-15,10,2024,2024-10,West,SP-047,Darika Som,Clothing,Saree Silk,B2C,CUST-717173,3,3563.56,15.0,10690.68,1603.6,9087.08,1532.33,4596.99,4490.09,49.41,56000.0,false,Bank Transfer,2024_10_sales.csv,2026-07-04T12:14:43.302+05:30
TXN-2024-10-000058,2024-10-22,10,2024,2024-10,South,SP-024,Jyoti Mangal,Electronics,Gaming Console,B2B,CUST-173311,27,45651.14,10.0,1232580.8,123258.08,1109322.8,31042.78,838155.06,271167.62,24.44,36000.0,false,Credit Card,2024_10_sales.csv,2026-07-04T12:14:43.302+05:30
TXN-2024-10-000066,2024-10-28,10,2024,2024-10,West,SP-048,Idika Dhawan,Clothing,Ethnic Kurta,B2C,CUST-866104,2,1792.3,10.0,3584.6,358.46,3226.14,716.92,1433.84,1792.3,55.56,56000.0,false,Credit Card,2024_10_sales.csv,2026-07-04T12:14:43.302+05:30
