transaction_id,txn_date,month,year,yearmonth,region,salesperson_id,salesperson_name,product_category,product_name,customer_segment,customer_id,units_sold,unit_price,discount_pct,gross_revenue,discount_amount,net_revenue,cost_per_unit,total_cost,gross_profit,profit_margin_pct,monthly_target,return_flag,payment_method,source_file,loaded_at
TXN-2022-07-000009,2022-07-29,7,2022,2022-07,North,SP-017,Zehaan Palla,Electronics,Smart TV 43 inch,B2C,CUST-646849,3,32351.78,0.0,97055.34,0.0,97055.34,21028.66,63085.98,33969.36,35.0,27777.78,false,UPI,2022_07_sales.csv,2026-07-04T12:09:17.926+05:30
TXN-2022-07-000012,2022-07-01,7,2022,2022-07,East,SP-035,Hardik Seth,Clothing,Formal Trousers,B2C,CUST-275540,1,1679.9,10.0,1679.9,167.99,1511.91,739.16,739.16,772.75,51.11,31818.18,false,Credit Card,2022_07_sales.csv,2026-07-04T12:09:17.926+05:30
TXN-2022-07-000016,2022-07-04,7,2022,2022-07,North,SP-010,Zilmil Kota,Electronics,Wireless Earbuds,B2C,CUST-200888,4,3444.16,5.0,13776.64,688.83,13087.81,1997.61,7990.44,5097.37,38.95,27777.78,false,UPI,2022_07_sales.csv,2026-07-04T12:09:17.926+05:30
TXN-2022-07-000017,2022-07-18,7,2022,2022-07,North,SP-013,Garima Bhasin,Electronics,Smartphone Y7,B2C,CUST-908828,4,17369.67,15.0,69478.68,10421.8,59056.88,10421.8,41687.2,17369.68,29.41,27777.78,false,Bank Transfer,2022_07_sales.csv,2026-07-04T12:09:17.926+05:30
TXN-2022-07-000018,2022-07-06,7,2022,2022-07,East,SP-042,Neel Chandra,Sports,Fitness Band,B2C,CUST-567257,5,2579.03,10.0,12895.15,1289.52,11605.63,1418.47,7092.35,4513.28,38.89,31818.18,false,Credit Card,2022_07_sales.csv,2026-07-04T12:09:17.926+05:30
TXN-2022-07-000020,2022-07-26,7,2022,2022-07,North,SP-013,Garima Bhasin,Electronics,Wireless Earbuds,B2C,CUST-271583,1,3636.45,0.0,3636.45,0.0,3636.45,2109.14,2109.14,1527.31,42.0,27777.78,false,Cash,2022_07_sales.csv,2026-07-04T12:09:17.926+05:30
TXN-2022-07-000021,2022-07-07,7,2022,2022-07,North,SP-014,Anay Merchant,Clothing,Saree Silk,B2C,CUST-951639,4,3421.69,10.0,13686.76,1368.68,12318.08,1471.33,5885.32,6432.76,52.22,27777.78,false,Credit Card,2022_07_sales.csv,2026-07-04T12:09:17.926+05:30
TXN-2022-07-000023,2022-07-18,7,2022,2022-07,South,SP-026,Adweta Nayar,Electronics,Smart Watch,B2C,CUST-500990,3,8126.22,0.0,24378.66,0.0,24378.66,4713.21,14139.63,10239.03,42.0,30000.0,false,UPI,2022_07_sales.csv,2026-07-04T12:09:17.926+05:30
TXN-2022-07-000027,2022-07-25,7,2022,2022-07,East,SP-036,Janani Hari,Electronics,Smart Watch,B2C,CUST-461078,1,8701.41,20.0,8701.41,1740.28,-6961.13,5046.82,5046.82,-1914.31,-27.5,31818.18,true,UPI,2022_07_sales.csv,2026-07-04T12:09:17.926+05:30
TXN-2022-07-000031,2022-07-11,7,2022,2022-07,North,SP-004,Divya Rajagopal,Home Goods,Pressure Cooker 5L,B2B,CUST-948635,27,2154.71,0.0,58177.17,0.0,58177.17,1185.09,31997.43,26179.74,45.0,27777.78,false,Bank Transfer,2022_07_sales.csv,2026-07-04T12:09:17.926+05:30
TXN-2022-07-000035,2022-07-05,7,2022,2022-07,South,SP-026,Adweta Nayar,Electronics,Gaming Console,B2C,CUST-709930,4,43761.8,15.0,175047.2,26257.08,148790.12,29758.02,119032.08,29758.04,20.0,30000.0,false,Credit Card,2022_07_sales.csv,2026-07-04T12:09:17.926+05:30
TXN-2022-07-000036,2022-07-22,7,2022,2022-07,South,SP-032,William Bhardwaj,Clothing,Denim Jeans,B2C,CUST-206482,1,2222.64,0.0,2222.64,0.0,2222.64,933.51,933.51,1289.13,58.0,30000.0,false,Cash,2022_07_sales.csv,2026-07-04T12:09:17.926+05:30
TXN-2022-07-000041,2022-07-20,7,2022,2022-07,North,SP-004,Divya Rajagopal,Clothing,Saree Silk,B2C,CUST-737831,3,3552.03,15.0,10656.09,1598.41,9057.68,1527.37,4582.11,4475.57,49.41,27777.78,false,Cash,2022_07_sales.csv,2026-07-04T12:09:17.926+05:30
TXN-2022-07-000044,2022-07-04,7,2022,2022-07,East,SP-036,Janani Hari,Electronics,Bluetooth Speaker,B2B,CUST-299916,19,2873.85,5.0,54603.15,2730.16,51872.99,1580.62,30031.78,21841.21,42.11,31818.18,false,Credit Card,2022_07_sales.csv,2026-07-04T12:09:17.926+05:30
TXN-2022-07-000050,2022-07-22,7,2022,2022-07,South,SP-033,Amrita Bhakta,Clothing,Saree Silk,B2C,CUST-930933,1,3567.02,0.0,3567.02,0.0,3567.02,1533.82,1533.82,2033.2,57.0,30000.0,false,Credit Card,2022_07_sales.csv,2026-07-04T12:09:17.926+05:30
TXN-2022-07-000056,2022-07-14,7,2022,2022-07,North,SP-004,Divya Rajagopal,Sports,Yoga Mat,B2C,CUST-583672,1,1198.79,15.0,1198.79,179.82,1018.97,575.42,575.42,443.55,43.53,27777.78,false,Bank Transfer,2022_07_sales.csv,2026-07-04T12:09:17.926+05:30
TXN-2022-07-000060,2022-07-19,7,2022,2022-07,South,SP-026,Adweta Nayar,Home Goods,Air Purifier,B2B,CUST-636719,9,11539.7,15.0,103857.3,15578.6,88278.7,6923.82,62314.38,25964.32,29.41,30000.0,false,Cash,2022_07_sales.csv,2026-07-04T12:09:17.926+05:30
